Player;Team;Matchweek 1;Matchweek 2;Matchweek 3;Matchweek 4;Matchweek 5;Matchweek 6;Matchweek 7;Matchweek 8;Matchweek 9;Matchweek 10;Matchweek 11;Sum
Piotr Góral;Pychowianka Kraków;;1;1;1;1;;;;5;;;9
Njabulo Dube;Pogoń II Skotniki;1;1;;;3;;1;;;;;6
Piotr Gołdowski;Opatkowianka Kraków;2;;;1;2;;;1;;;;6
Bartosz Kidoń;Pychowianka Kraków;2;;;;1;;;1;1;;;5
Stanisław Olejniczak;Pogoń II Skotniki;1;;1;;1;;1;;;;;4
Paweł Szafran;Krakus Swoszowice;1;1;;2;;;;;;;;4
Oleksandr Blahinin;Tramwaj Kraków;1;;;1;;;;1;1;;;4
Sławomik Danek;Opatkowianka Kraków;1;1;1;;;;;;1;;;4
Marcin Mazur;Universum Kraków;1;1;;1;;;1;;;;;4
Paweł Nawrocki;Pychowianka Kraków;2;;1;;;;;1;;;;4
Wiktor Gawłowski;Bieżanowianka II Kraków;;1;1;;;1;;;1;;;4
Dawid Chrustowski;Pogoń II Skotniki;;1;;;;1;;;2;;;4
Kacper Moskal;Tramwaj Kraków;;1;;;1;;;1;1;;;4
Tomasz Piotrowski;Pychowianka Kraków;;;1;;;;;2;1;;;4
Kasper Tekiela;Tramwaj Kraków;2;;1;;;;;;;;;3
Kamil Rokosz;Kolejarz-Prokocim II Kraków;3;;;;;;;;;;;3
Dawid Rybałtowski;Kolejarz-Prokocim II Kraków;;1;;;1;;;;1;;;3
Andrii Stasenkov;Opatkowianka Kraków;;1;;;;;2;;;;;3
Bartosz Judasz;Universum Kraków;;3;;;;;;;;;;3
Bartosz Cioch;Bieżanowianka II Kraków;;;1;1;1;;;;;;;3
Oleksii Lehenkyi;Płomień II Kostrze;;;1;;;2;;;;;;3
Wiktor Wojciechowski;Victoria Kraków;;;1;2;;;;;;;;3
Patryk Kubański;Kolejarz-Prokocim II Kraków;;;1;;;;;1;1;;;3
Kamil Konik;Pychowianka Kraków;;;;1;;1;1;;;;;3
Paweł Łytek;Opatkowianka Kraków;;;;3;;;;;;;;3
Karol Kuraś;Albertus Kraków;;;;;1;;2;;;;;3
Dominik Pruss;Pogoń II Skotniki;1;1;;;;;;;;;;2
Przemysław Bartyzel;Tramwaj Kraków;1;1;;;;;;;;;;2
Jakub Leśniak;Tramwaj Kraków;1;;;;;;1;;;;;2
Łukasz Dulemna;Opatkowianka Kraków;1;;1;;;;;;;;;2
Amadeusz Bufnal;Opatkowianka Kraków;1;;;;1;;;;;;;2
Piotr Madej;Universum Kraków;1;;1;;;;;;;;;2
Karol Guzik;Victoria Kraków;1;;;;;;1;;;;;2
Łukasz Śladowski;Victoria Kraków;1;;;;;;1;;;;;2
Mateusz Brandys;Klub Sportowy Tyniec;;1;;;1;;;;;;;2
Hubert Wasilewski;Kolejarz-Prokocim II Kraków;;1;;;;;1;;;;;2
Tomasz Sikora;Pogoń II Skotniki;;1;;;;1;;;;;;2
Maksymilian Zięba;Pogoń II Skotniki;;2;;;;;;;;;;2
Kamil Myśliwiec;Universum Kraków;;2;;;;;;;;;;2
Szymon Łoboda;Tramwaj Kraków;;2;;;;;;;;;;2
Jakub Kostrz;Tramwaj Kraków;;;1;;;;1;;;;;2
Kewin Mrowiec;Klub Sportowy Tyniec;;;1;;;1;;;;;;2
Adam Choina;Universum Kraków;;;1;;1;;;;;;;2
Patryk Kopiejka;Pogoń II Skotniki;;;2;;;;;;;;;2
Paweł Ptaszek;Victoria Kraków;;;1;;;;;;1;;;2
Maciej Przybyłko;Albertus Kraków;;;;1;;;;1;;;;2
Patryk Lalik;Klub Sportowy Tyniec;;;;1;;1;;;;;;2
Fabian Dobek;Tramwaj Kraków;;;;2;;;;;;;;2
Kacper Szułdzyński;Pogoń II Skotniki;;;;;1;1;;;;;;2
Marek Pałach;Pychowianka Kraków;;;;;1;;1;;;;;2
Maciej Matyjewicz;Pychowianka Kraków;;;;;1;;;1;;;;2
Maciej Luty;Tramwaj Kraków;;;;;;2;;;;;;2
